Lname,Fname,Freq,Times,Rank,Regiment
FLETT,WILLIAM HENRY,0.0,0,Lieutenant,
FOX,THOMAS,0.0,0,Private,
GIBBS,ROY,0.0,0,Private,
GIBSON,LAURENCE PERCIVAL KENNEDY,0.0,0,Lieutenant,
GODWIN,CHARLES RICHARD MAGRATH,0.0,0,Lieutenant,
GORDON,THOMAS SETON,0.0,0,Second Lieutenant,
GRAVES,GEOFFREY AUSTIN JOSEPH,0.0,0,Lieutenant,
GRAVES,THOMAS MOLYNEAUX,0.0,0,Lieutenant,
GRIFFIN,ARTHUR LIONEL,0.0,0,Captain,
HARRIS,WALTER EUGENE,0.0,0,Private,
HATTON,THOMAS,0.0,0,Lieutenant,
HAZEN,JAMES MURRAY,0.0,0,Lieutenant,
HEUSTON,FRANCIS ROBERT,0.0,0,Lieutenant,
HOPKINS,FRED HOLMES,0.0,0,Lieutenant Colonel,
HORNER,ARCHIBALD HERBERT,0.0,0,Lieutenant,
HORSEY,CLIFTON MANBANK,0.0,0,Lieutenant,
HOWE,JOHN,0.0,0,Lieutenant,
HUBLEY,HAROLD,0.0,0,Private,
IRVINE,ANDREW BALFOUR,0.0,0,Lieutenant,
JOHNSON,LACEY ARTHUR,0.0,0,Lieutenant,
JONES,ERNEST,0.0,0,Private,
JONES,RALPH EGERTON NORRIS,0.0,0,Lieutenant,
LAWSON,FRANK,0.0,0,Lieutenant,
LECKIE,NORMAN EWING,0.0,0,Major,
LEWIS,ROBERT,0.0,0,Corporal,
LIDDLE,THOMAS ROBSON,0.0,0,Flight Sub Lieutenant,
LLOYD,FRANCIS OSWALD,0.0,0,Second Lieutenant,
LLOYD,GILBERT KINGSLEY,0.0,0,Second Lieutenant,
LOCKHART,FRANK EDWIN,0.0,0,Lieutenant,
MACAULAY,COLIN ALEXANDER,0.0,0,Second Lieutenant,
MACFARLANE,ROBERT GEORGE,0.0,0,Second Lieutenant,
MACKENZIE,DANIEL,0.0,0,Sergeant,
MACNAUGHTON,IAN ROBERT,0.0,0,Lieutenant,
MATTHEWS,ALFRED JOSEPH,0.0,0,Captain,
MCGIBBON,GILBERT DONALD,0.0,0,Captain,
MCLAREN,FREDERICK GATES,0.0,0,Lieutenant,
MEAD,THOMAS CHARLES,0.0,0,Private,
MILLS,ROBERT SYDNEY,0.0,0,Lieutenant,
MITCHELL,JAMES,0.0,0,Second Lieutenant,
MORROW,JAMES CURZON,0.0,0,Lieutenant,
MUTRIE,ROBERT JOHN,0.0,0,Major,
NASH,JOHN FOSTER PATON,0.0,0,Captain,
NOURSE,GRACE E BOYD,0.0,0,Nursing Sister,
OWEN,HORALD HEBER,0.0,0,Lieutenant,
PAGE,HERBERT JOSEPH,0.0,0,Flight Sub Lieutenant,
PARKER,WILLIAM BRABAZON HALLOWES,0.0,0,Lieutenant,
PEERLESS,ARTHUR NEVILLE,0.0,0,Lieutenant,
PEGG,KENNETH HUGH,0.0,0,Lieutenant,
PEMBERTON,WARREN COLCLOUGH,0.0,0,Lieutenant,
RAWLE,CHARLES WILLIAM FORBES,0.0,0,Second Lieutenant,
RICHARDSON,GEORGE TAYLOR,0.0,0,Captain,
ROBERTSON,JAMES ERNEST,0.0,0,Lieutenant,
ROSS,ALASTAIR,0.0,0,Second Lieutenant,
ROSS,ELSIE GERTRUDE,0.0,0,Nursing Sister,
ROSS,GORDON KNOK,0.0,0,Lieutenant,
ROWLEY,HAROLD GEORGE,0.0,0,Lieutenant,
SALE,CHARLES EDWARD,0.0,0,Major,
SCHOOLING,PETER HOLT,0.0,0,Second Lieutenant,
SHAUGHNESSY,ALFRED THOMAS,0.0,0,Captain,
SHELTON,WILLIAM,0.0,0,Private,
SKEAFF,JOHN MURRAY,0.0,0,Lieutenant,
SOMERVILLE,CAVANAGH NIXON,0.0,0,Probationary Flight Sub-Lieutenant,
STEWART,RAYMOND,0.0,0,Private,
