Lname,Fname,Freq,Times
ALBERDI,null,1.608762E-6,1,null
ALBERDING,null,1.608762E-6,1,null
ALBERG,null,4.826286E-6,3,null
ALBERGA,null,3.217524E-6,2,null
ALBERGHINI,null,1.608762E-6,1,null
ALBERICO,null,1.608762E-6,1,null
ALBERRY,null,3.217524E-6,2,null
ALBERS,null,6.435048E-6,4,null
ALBERT,null,1.5444115E-4,96,null
ALBERTA,null,1.608762E-6,1,null
ALBERTINI,null,1.608762E-6,1,null
ALBERTO,null,1.608762E-6,1,null
ALBERTS,null,1.6087619E-5,10,null
ALBERTSON,null,2.8957715E-5,18,null
ALBERTSSON,null,1.608762E-6,1,null
ALBERY,null,3.217524E-6,2,null
ALBEZ,null,1.608762E-6,1,null
ALBIN,null,8.043809E-6,5,null
ALBINI,null,1.608762E-6,1,null
ALBINSON,null,8.043809E-6,5,null
ALBION,null,4.826286E-6,3,null
ALBLUM,null,1.608762E-6,1,null
ALBO,null,1.608762E-6,1,null
ALBONES,null,1.608762E-6,1,null
ALBRECHT,null,1.2870096E-5,8,null
ALBRECHTSEN,null,1.608762E-6,1,null
ALBRECTSEN,null,1.608762E-6,1,null
ALBRED,null,1.608762E-6,1,null
ALBRETS,null,1.608762E-6,1,null
ALBRIGHT,null,2.2522667E-5,14,null
ALBRIGHTON,null,3.217524E-6,2,null
ALBRIT,null,1.608762E-6,1,null
ALBROUGH,null,3.217524E-6,2,null
ALBROW,null,1.608762E-6,1,null
ALBUTT,null,6.435048E-6,4,null
ALCE,null,3.217524E-6,2,null
ALCHIN,null,6.435048E-6,4,null
ALCHORN,null,9.652572E-6,6,null
ALCOCK,null,7.561181E-5,47,null
ALCOMBRACK,null,3.217524E-6,2,null
ALCON,null,1.608762E-6,1,null
ALCORN,null,1.2870096E-5,8,null
ALCOTT,null,3.217524E-6,2,null
ALCOX,null,6.435048E-6,4,null
ALDCORN,null,1.608762E-6,1,null
ALDCROFT,null,1.2870096E-5,8,null
ALDE,null,1.608762E-6,1,null
ALDEN,null,1.6087619E-5,10,null
ALDER,null,3.0566476E-5,19,null
ALDERDICE,null,4.826286E-6,3,null
ALDERMAN,null,1.2870096E-5,8,null
ALDERS,null,8.043809E-6,5,null
ALDERSEY,null,1.608762E-6,1,null
ALDERSLEY,null,6.435048E-6,4,null
ALDERSMITH,null,1.608762E-6,1,null
ALDERSON,null,7.561181E-5,47,null
ALDERTON,null,9.652572E-6,6,null
ALDHAM,null,3.217524E-6,2,null
ALDHOUSE,null,3.217524E-6,2,null
ALDINE,null,1.608762E-6,1,null
ALDINGTON,null,1.608762E-6,1,null
ALDIS,null,6.435048E-6,4,null
ALDO,null,1.608762E-6,1,null
ALDOUS,null,2.413143E-5,15,null
ALDRED,null,2.5740192E-5,16,null
ALDRICH,null,2.0913905E-5,13,null
ALDRIDGE,null,8.5264386E-5,53,null
ALDUS,null,3.217524E-6,2,null
ALDWINCKLE,null,1.608762E-6,1,null
ALDWORTH,null,8.043809E-6,5,null
ALECK,null,3.217524E-6,2,null
ALEK,null,3.217524E-6,2,null
ALEPERT,null,1.608762E-6,1,null
ALEPIN,null,1.608762E-6,1,null
ALERS-HANKEY,null,1.608762E-6,1,null
ALERTON,null,1.608762E-6,1,null
ALES,null,1.608762E-6,1,null
ALESANDRO,null,1.608762E-6,1,null
ALESSANDRO,null,1.608762E-6,1,null
ALEX,null,6.435048E-6,4,null
ALEXANDER,null,6.483311E-4,403,null
ALEXANDERSON,null,1.608762E-6,1,null
ALEXANDRE,null,1.7696382E-5,11,null
ALEXANDRES,null,1.608762E-6,1,null
ALEXEW,null,1.608762E-6,1,null
ALEXICK,null,1.608762E-6,1,null
ALEXSON,null,1.608762E-6,1,null
ALEY,null,6.435048E-6,4,null
ALEZEWICK,null,1.608762E-6,1,null
ALF,null,4.826286E-6,3,null
ALFARO,null,1.608762E-6,1,null
ALFGREN,null,3.217524E-6,2,null
ALFIER,null,3.217524E-6,2,null
ALFONSO,null,1.608762E-6,1,null
ALFORD,null,5.6306668E-5,35,null
ALFRED,null,9.652572E-6,6,null
ALFREDSON,null,3.217524E-6,2,null
ALGAR,null,9.652572E-6,6,null
ALGATE,null,1.608762E-6,1,null
ALGEE,null,3.217524E-6,2,null
ALGEO,null,8.043809E-6,5,null
ALGER,null,2.2522667E-5,14,null
ALGIAN,null,1.608762E-6,1,null
ALGIE,null,9.652572E-6,6,null
ALGUIRE,null,2.7348953E-5,17,null
ALHO,null,1.608762E-6,1,null
ALIC,null,1.608762E-6,1,null
ALIE,null,6.435048E-6,4,null
ALIMONTI,null,1.608762E-6,1,null
ALING,null,1.608762E-6,1,null
ALION,null,1.608762E-6,1,null
ALISHIDUK,null,1.608762E-6,1,null
ALISON,null,9.652572E-6,6,null
ALIVISATOS,null,1.608762E-6,1,null
ALIX,null,1.1261333E-5,7,null
ALJOE,null,3.217524E-6,2,null
