Lname,Fname,Freq,Times
CLARE,null,3.0421026E-5,2,null
CLARIDGE,null,1.5210513E-5,1,null
CLARK,null,2.7378925E-4,18,null
CLARKE,null,2.5857872E-4,17,null
CLARKSON,null,1.5210513E-5,1,null
CLARSON,null,1.5210513E-5,1,null
CLAUS,null,1.5210513E-5,1,null
CLAUSEN,null,1.5210513E-5,1,null
CLAY,null,1.5210513E-5,1,null
CLAYTON,null,3.0421026E-5,2,null
CLEAL,null,1.5210513E-5,1,null
CLEEVES,null,1.5210513E-5,1,null
CLEGHORN,null,1.5210513E-5,1,null
CLEMENTS,null,3.0421026E-5,2,null
CLEMENTSON,null,3.0421026E-5,2,null
CLEMINSON,null,1.5210513E-5,1,null
CLENDENNING,null,1.5210513E-5,1,null
CLENT,null,1.5210513E-5,1,null
CLEVELY,null,1.5210513E-5,1,null
CLIBBORN,null,1.5210513E-5,1,null
CLIFFE,null,1.5210513E-5,1,null
CLIFFORD,null,4.563154E-5,3,null
CLIFT,null,1.5210513E-5,1,null
CLIFTON,null,1.5210513E-5,1,null
CLIMER,null,1.5210513E-5,1,null
CLOUGHLEY,null,1.5210513E-5,1,null
CLOVER,null,1.5210513E-5,1,null
CLUTTERBUCK,null,1.5210513E-5,1,null
COATSWORTH,null,1.5210513E-5,1,null
COBURN,null,1.5210513E-5,1,null
COCHRANE,null,1.5210513E-5,1,null
COCKBURN,null,1.5210513E-5,1,null
COCKER,null,1.5210513E-5,1,null
COCKS,null,1.5210513E-5,1,null
COCROFT,null,1.5210513E-5,1,null
CODY,null,1.5210513E-5,1,null
COE,null,3.0421026E-5,2,null
COETZEE,null,1.5210513E-5,1,null
COHEN,null,1.5210513E-5,1,null
COKE,null,1.5210513E-5,1,null
COLE,null,3.0421026E-5,2,null
COLEMAN,null,3.0421026E-5,2,null
COLES,null,1.5210513E-5,1,null
COLLINGS,null,1.5210513E-5,1,null
COLLINS,null,7.6052565E-5,5,null
COLLINSON,null,1.5210513E-5,1,null
COLLISON,null,1.5210513E-5,1,null
COLSON,null,3.0421026E-5,2,null
COLVILLE,null,1.5210513E-5,1,null
COMBER,null,1.5210513E-5,1,null
COMEAU,null,1.5210513E-5,1,null
COMEGO,null,1.5210513E-5,1,null
COMRIE,null,1.5210513E-5,1,null
CONDER,null,3.0421026E-5,2,null
CONN,null,1.5210513E-5,1,null
CONNELL,null,1.5210513E-5,1,null
CONNEW,null,1.5210513E-5,1,null
CONNOLLY,null,3.0421026E-5,2,null
CONNON,null,1.5210513E-5,1,null
CONNOR,null,4.563154E-5,3,null
CONNORS,null,4.563154E-5,3,null
CONSTABLE,null,1.5210513E-5,1,null
CONWAY,null,4.563154E-5,3,null
COOK,null,1.0647359E-4,7,null
COOKE,null,3.0421026E-5,2,null
COOKSON,null,1.5210513E-5,1,null
COOLEY,null,1.5210513E-5,1,null
COOMBES,null,1.5210513E-5,1,null
COOP,null,1.5210513E-5,1,null
COOPER,null,9.126308E-5,6,null
COPE,null,4.563154E-5,3,null
COPPIN,null,1.5210513E-5,1,null
COPPLO,null,1.5210513E-5,1,null
CORBETT,null,3.0421026E-5,2,null
CORCORAN,null,1.5210513E-5,1,null
CORDOZO,null,1.5210513E-5,1,null
COREY,null,1.5210513E-5,1,null
CORK,null,1.5210513E-5,1,null
CORKER,null,1.5210513E-5,1,null
CORNER,null,1.5210513E-5,1,null
CORNWALL,null,1.5210513E-5,1,null
CORREGAN,null,1.5210513E-5,1,null
CORRIDAN,null,1.5210513E-5,1,null
CORRY,null,1.5210513E-5,1,null
CORSON,null,1.5210513E-5,1,null
COSGROVE,null,1.5210513E-5,1,null
COSH,null,1.5210513E-5,1,null
COSSEY,null,1.5210513E-5,1,null
COTE,null,4.563154E-5,3,null
COTTER,null,1.5210513E-5,1,null
COTTON,null,1.5210513E-5,1,null
COTTRELL,null,1.5210513E-5,1,null
COUCH,null,1.5210513E-5,1,null
COULTER,null,3.0421026E-5,2,null
COULTHARD,null,1.5210513E-5,1,null
COUMBE,null,1.5210513E-5,1,null
COURCHAINE,null,1.5210513E-5,1,null
COURT,null,3.0421026E-5,2,null
COURTNEY,null,1.5210513E-5,1,null
COUTTS,null,4.563154E-5,3,null
COVILL,null,1.5210513E-5,1,null
COWAN,null,1.5210513E-5,1,null
COWIE,null,1.5210513E-5,1,null
COWLEY,null,1.5210513E-5,1,null
COWLING,null,1.5210513E-5,1,null
COX,null,1.5210513E-4,10,null
COY,null,1.5210513E-5,1,null
CRABTREE,null,1.5210513E-5,1,null
CRAIG,null,1.0647359E-4,7,null
CRAIGIE,null,1.5210513E-5,1,null
CRAIN,null,1.5210513E-5,1,null
CRAVEN,null,1.5210513E-5,1,null
CRAWFORD,null,7.6052565E-5,5,null
CRAWLEY,null,1.5210513E-5,1,null
CREAM,null,1.5210513E-5,1,null
CREIGHTON,null,4.563154E-5,3,null
CRIGHTON,null,1.5210513E-5,1,null
CRIPPEN,null,1.5210513E-5,1,null
CRIPPS,null,1.5210513E-5,1,null
CRISP,null,1.5210513E-5,1,null
CROCKFORD,null,1.5210513E-5,1,null
CROFT,null,3.0421026E-5,2,null
CROMIEN,null,1.5210513E-5,1,null
CRONIN,null,1.5210513E-5,1,null
CROOK,null,1.5210513E-5,1,null
CROOKSTON,null,1.5210513E-5,1,null
CROSBY,null,1.5210513E-5,1,null
CROSIER,null,1.5210513E-5,1,null
CROSS,null,6.0842052E-5,4,null
CROSSON,null,1.5210513E-5,1,null
CROUCH,null,1.5210513E-5,1,null
CROUCHER,null,1.5210513E-5,1,null
CROUSE,null,1.5210513E-5,1,null
CROWDY,null,1.5210513E-5,1,null
CROWELL,null,1.5210513E-5,1,null
CROWTHER,null,3.0421026E-5,2,null
CROZIER,null,1.5210513E-5,1,null
CRUXTON,null,1.5210513E-5,1,null
CUFFLEY,null,1.5210513E-5,1,null
CULLING,null,1.5210513E-5,1,null
CUMBERLAND,null,1.5210513E-5,1,null
CUMINE,null,1.5210513E-5,1,null
CUMMING,null,1.5210513E-5,1,null
CUMMINGS,null,1.5210513E-5,1,null
CUNNINGHAM,null,1.0647359E-4,7,null
CURLEY,null,1.5210513E-5,1,null
CURRIE,null,9.126308E-5,6,null
CURRY,null,3.0421026E-5,2,null
CURSON,null,1.5210513E-5,1,null
CURTIN,null,1.5210513E-5,1,null
CURTIS,null,3.0421026E-5,2,null
CURWEN,null,1.5210513E-5,1,null
CUTHBERT,null,1.5210513E-5,1,null
CUTLER,null,1.5210513E-5,1,null
CUTTING,null,1.5210513E-5,1,null
CUVELIER,null,1.5210513E-5,1,null
DABATE,null,1.5210513E-5,1,null
DAFFURN,null,1.5210513E-5,1,null
DAIN,null,1.5210513E-5,1,null
DALE,null,1.5210513E-5,1,null
DALGLEISH,null,1.5210513E-5,1,null
DALGLISH,null,1.5210513E-5,1,null
DALLEN,null,1.5210513E-5,1,null
DALTON,null,1.5210513E-5,1,null
DALY,null,4.563154E-5,3,null
DAMES,null,1.5210513E-5,1,null
DANCY,null,1.5210513E-5,1,null
DANFORD,null,1.5210513E-5,1,null
DANIELL,null,1.5210513E-5,1,null
DANIELS,null,4.563154E-5,3,null
DANKS,null,1.5210513E-5,1,null
DANSKIN,null,1.5210513E-5,1,null
DARAGON,null,1.5210513E-5,1,null
DARBY,null,1.5210513E-5,1,null
DARCHE,null,1.5210513E-5,1,null
DARLEY,null,1.5210513E-5,1,null
