Lname,Fname,Freq,Times
BLIGH,CHARLES HUBERT,1.5210513E-5,1,Corporal
BLISS,THOMAS WILLIAM,1.5210513E-5,1,Private
BLISSETT,WILLIAM,1.5210513E-5,1,Private
BLOIS,GEORGE,1.5210513E-5,1,Private
BLOOMER,JOHN JAMES,1.5210513E-5,1,Trooper
BLOOMER,WILLIAM,1.5210513E-5,1,Squadron Serjeant Major (WO.II)
BLOTT,CHARLES MACGREGOR,1.5210513E-5,1,Private
BLOXAM,GEORGE BINGHAM,1.5210513E-5,1,Private
BLUNDY,ISADORE G,1.5210513E-5,1,Private
BLUNT,WILLIAM,1.5210513E-5,1,Company Serjeant Major
BOARDMAN,DAVID,1.5210513E-5,1,Private
BOARDMAN,GEORGE,1.5210513E-5,1,Gunner
BODEYN,LOUIS,1.5210513E-5,1,Private
BOEYCKENS,CHARLES,1.5210513E-5,1,Driver
BOGGS,HERBERT BEAUMONT,1.5210513E-5,1,Lieutenant
BOGLE,GEORGE STAFFORD,1.5210513E-5,1,Second Lieutenant
BOLAND,GEORGE,1.5210513E-5,1,Private
BOLAND,SIDNEY,1.5210513E-5,1,Private
BOLSTER,HERBERT GEORGE,1.5210513E-5,1,Major
BOLTON,JACOB,1.5210513E-5,1,Private
BOLTON,JOSEPH CROOK,1.5210513E-5,1,Private
BOND,ARTHUR,1.5210513E-5,1,Private
BOND,FREDERICK HAMILTON BLIGH,1.5210513E-5,1,Second Lieutenant
BOND,WILLIAM AUGUSTUS,1.5210513E-5,1,Private
BONE,JOHN TURNER,1.5210513E-5,1,Flight Sub Lieutenant
BONE,PETER,1.5210513E-5,1,Rifleman
BOOLSEN,CARL,1.5210513E-5,1,Private
BOOTH,JOHN HAMILTON,1.5210513E-5,1,Private
BOOTH,THOMAS,1.5210513E-5,1,Private
BORELAND,ROBERT JOHN,1.5210513E-5,1,Private
BORTHWICK,PRINGLE,1.5210513E-5,1,Gunner
BOSTON,JAMES WILLIAM,1.5210513E-5,1,Corporal
BOSWELL,ERNEST BEVERLEY,1.5210513E-5,1,Private
BOTTOMLEY,JOHN WOOD,1.5210513E-5,1,Company Sergeant Major
BOUCH,WILFRED,1.5210513E-5,1,Private
BOUDREAU,HENRI,1.5210513E-5,1,Private
BOULANGER,LOUIS,1.5210513E-5,1,Private
BOULDRY,WILLIAM,1.5210513E-5,1,Private
BOULICH,ANTONY,1.5210513E-5,1,Private
BOULTBEE,JOSEPH MAXWELL,1.5210513E-5,1,Private
BOULTER,FREDERICK JAMES,1.5210513E-5,1,Private
BOULTON,THOMAS,1.5210513E-5,1,Private
BOURGES,JOHN,1.5210513E-5,1,Private
BOUSQUET,NARCISSE,1.5210513E-5,1,Private
BOWCOCK,HENRY LEONARD,1.5210513E-5,1,Private
BOWDEN,CHRISTOPHER JOHN,1.5210513E-5,1,Private
BOWE,JAMES,1.5210513E-5,1,Private
BOWEN,DAVID,1.5210513E-5,1,Sergeant
BOWEN,STANLEY,1.5210513E-5,1,Serjeant
BOWEN,WILLIAM STANLEY,1.5210513E-5,1,Private
BOWERMAN,ALFRED JOHN,1.5210513E-5,1,Corporal
BOWEY,THOMAS,1.5210513E-5,1,Private
BOWHAY,LANCE,1.5210513E-5,1,Private
BOWIE,GEORGE PIGRUM,1.5210513E-5,1,Captain
BOWIE,SAMUEL,1.5210513E-5,1,Lance Corporal
BOWIE,WILLIAM,1.5210513E-5,1,Private
BOWLBY,ST CLAIR,1.5210513E-5,1,Private
BOWLES,GEORGE HENRY,1.5210513E-5,1,Private
BOWLT,THOMAS,1.5210513E-5,1,Corporal
BOWMAN,FRANCIS CLIFFORD,1.5210513E-5,1,Private
BOWMAN,LESLIE WILLIS,1.5210513E-5,1,Private
BOWNASS,JAMES EVERETT,1.5210513E-5,1,Lance Corporal
BOWSER,WILLIAM JAMES,1.5210513E-5,1,Private
BOWSTEAD,THOMAS,1.5210513E-5,1,Private
BOWYER,HAROLD GEORGE,1.5210513E-5,1,Private
BOWYER,HARRY,1.5210513E-5,1,Private
BOWYER,JAMES CECIL,1.5210513E-5,1,Private
BOWYER,WILLIAM,1.5210513E-5,1,Corporal
BOYCE,ALBERT,1.5210513E-5,1,Private
BOYCE,EVELYN LLEWELYN,1.5210513E-5,1,Sergeant
BOYD,JOHN,1.5210513E-5,1,Lance Corporal
BOYLE,JAMES,1.5210513E-5,1,Private
BOYLE,JOHN,1.5210513E-5,1,Private
BOYLE,PALMER,1.5210513E-5,1,Sapper
BOYLE,RUSSELL LAMBERT,1.5210513E-5,1,Lieutenant Colonel
BRADBURY,CHARLES,1.5210513E-5,1,Private
BRADE,HENRY CHARLES,1.5210513E-5,1,Corporal
BRADFORD,HERBERT,1.5210513E-5,1,Lance Corporal
BRADFORD,JAMES HONEYMAN,1.5210513E-5,1,Gunner
