LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
O'BRIEN,JOSEPH,OBRIEN,JOSEPH,709410,709410,Lance Corporal,0
O'BRIEN,WALTER BURRITT,OBRIEN,WALTER BURRITT,460588,460588,Private,0
O'BRIEN,WILLIAM,OBRIEN,WILLIAM,400590,400590,Private,0
O'CONNOR,JACK (JOHN),OCONNOR,JACK,126720,126720,Private,0
O'CONNOR,RODERICK EDMUND,OCONNOR,RODERICK EDMOND,40693,40693,Gunner,0
O'DELL,WILLIAM,ODELL,WILLIAM,6531,6531,Corporal,0
O'KANE,DANIEL,OKANE,DANIEL,46872,46872,Private,0
O'LEARY,FRANK,OLEARY,FRANK,781545,781545,Private,0
O'LEARY,RICHARD GORDON,OLEARY,RICHARD GORDON WELSEY,475456,475456,Private,0
O'NEILL,JAMES,ONEILL,JAMES,440858,440858,Private,0
O'SHAUGHNESSY,WALTER,OSHAUGHNESSY,WALTER,418426,418426,Private,0
OUELLETTE,JOSEPH,OUELLET,JOSEPH,417507,417507,Pioneer,0
PATERSON,DAVID,PATTERSON,DAVID,477702,477702,Lance Corporal,0
PHIBLIN,JOHN,PHILBIN,JOHN,427159,427159,Private,0
PHILIPPS,ARTHUR OWEN,PHILLIPS,ARTHUR OWEN,117043,117043,Sergeant,0
RANKINE,MATTHEW TEASDALE,RANKIN,MATTHEW,108476,108476,Private,0
SANDFORD,WILLIAM,SAUDFORD,WILLIAM ED,754864,754864,Private,0
SAVOIE,FRANK,SAVOY,FRANK,445138,445138,Private,0
SIMMONS,EDMOND JOSEPH,SIMONS,EDMUND,445321,445321,Private,0
SUMNER,JOSHUA,SUMMER,JOSHUA,441763,441763,Private,0
TURNER,JAMES,TAYLOR,JOHN,4804,4804,Private,0
VALLET,WILLIAM,VALLETT,WILLIAM,45344,45344,Sapper,0
VAN LUVEN,LORNE,VANLUVEN,LORNE,409245,409245,Private,0
VIENS,OMER,VIEN,OMER,34548,34548,Private,0
WIFFEN,FREDERICK,WIFFIN,FREDERICK,602874,602874,Private,0
AITCHISON,JAMES,AITCHESON,JAMES,441507,441507,Private,0
ARBICK,EDWARD,ARBIC,EDDIE,177856,177856,Private,0
ARSENAULT,HARRY,ARSENEAULT,HARRY,69019,69019,Private,0
